epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9552,1.29271,2.87814,1.54554,0.36709,0.63161,0.51998,0.45477,0.60569,3.90655,0.64055,7.5e-05,7.5e-05,7.5e-05
2,64.5822,1.15123,1.47347,1.35753,0.75606,0.64138,0.69645,0.46896,1.34942,4.74888,0.8477,0.000159819,0.000159819,0.000159819
3,95.4451,1.09912,0.98634,1.2406,0.79636,0.92888,0.92406,0.72297,0.85306,2.70233,0.68484,0.00024175,0.00024175,0.00024175
4,124.667,1.02758,0.86674,1.20748,0.72172,0.70385,0.69821,0.50707,1.07706,3.6017,0.74899,0.000320794,0.000320794,0.000320794
5,160.209,1.04023,0.82899,1.19305,0.64013,0.40393,0.42979,0.31147,1.01785,4.81197,0.72185,0.00039695,0.00039695,0.00039695
6,199.602,1.00136,0.76192,1.19168,0.66027,0.35382,0.34208,0.28104,0.83274,2.29906,0.70028,0.000470219,0.000470219,0.000470219
7,237.565,0.98589,0.72581,1.19557,0.75617,0.36684,0.38346,0.30804,0.84217,2.22147,0.68798,0.0005406,0.0005406,0.0005406
8,278.417,0.97246,0.74665,1.17039,0.69178,0.28308,0.27704,0.19224,1.14585,2.32562,0.82381,0.000608094,0.000608094,0.000608094
9,316.05,0.9317,0.66376,1.1813,0.89572,0.38349,0.40068,0.29987,0.99628,1.70798,0.75752,0.0006727,0.0006727,0.0006727
10,368.77,0.96229,0.67469,1.17175,0.87399,0.23684,0.29391,0.23847,0.69415,1.64328,0.66011,0.000734419,0.000734419,0.000734419
11,412.64,0.90173,0.63186,1.14631,0.87471,0.26342,0.29939,0.24603,0.76151,1.68384,0.69492,0.00079325,0.00079325,0.00079325
12,450.701,0.90656,0.65381,1.13115,0.62243,0.27503,0.29193,0.23103,0.71598,2.09124,0.65713,0.000849194,0.000849194,0.000849194
13,492.822,0.85057,0.59772,1.13447,0.70409,0.26641,0.26549,0.20963,0.68285,1.82895,0.64123,0.00090225,0.00090225,0.00090225
14,539.326,0.82659,0.58909,1.10471,0.64296,0.12994,0.11445,0.09538,0.75067,2.02813,0.67995,0.000952419,0.000952419,0.000952419
15,584.669,0.83617,0.60233,1.13442,0.66069,0.19485,0.21581,0.17456,0.79903,1.88499,0.70338,0.00096125,0.00096125,0.00096125
16,629.316,0.76777,0.54486,1.07063,0.71951,0.21864,0.24015,0.20002,0.60216,1.37896,0.61734,0.000940625,0.000940625,0.000940625
17,678.384,0.76871,0.54385,1.09722,0.64532,0.12994,0.13044,0.11752,0.55056,1.37189,0.6054,0.00092,0.00092,0.00092
