epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,726.751,0.72904,0.53298,1.06138,0.64479,0.12994,0.13381,0.11346,0.64994,1.82744,0.65291,0.000899375,0.000899375,0.000899375
19,767.308,0.69877,0.52323,1.04747,0.82965,0.12994,0.14717,0.12853,0.58991,1.45243,0.65478,0.00087875,0.00087875,0.00087875
20,809.87,0.73623,0.52069,1.07478,0.79264,0.12994,0.15065,0.14178,0.51517,1.28178,0.59068,0.000858125,0.000858125,0.000858125
21,863.227,0.75304,0.52427,1.07936,0.85429,0.22644,0.24977,0.2225,0.51402,1.17394,0.59339,0.0008375,0.0008375,0.0008375
22,908.062,0.77042,0.51789,1.08666,0.93,0.12894,0.14133,0.12782,0.54408,1.08262,0.60532,0.000816875,0.000816875,0.000816875
23,948.51,0.77818,0.5163,1.07963,0.96003,0.12994,0.14589,0.12982,0.70837,1.04094,0.62847,0.00079625,0.00079625,0.00079625
24,997.161,0.76773,0.52134,1.07909,0.92465,0.12994,0.15068,0.13476,0.53194,1.01918,0.5953,0.000775625,0.000775625,0.000775625
25,1043.39,0.68039,0.46923,1.03453,0.55298,0.22644,0.23724,0.20927,0.50697,1.04959,0.59454,0.000755,0.000755,0.000755
26,1089.23,0.65405,0.46055,1.01923,0.52,0.12994,0.17417,0.16845,0.51755,1.29038,0.59378,0.000734375,0.000734375,0.000734375
27,1136.07,0.66929,0.47449,1.04829,0.85533,0.12994,0.19854,0.1936,0.53642,1.06411,0.5799,0.00071375,0.00071375,0.00071375
28,1186.69,0.68419,0.47747,1.0378,0.87888,0.12994,0.18763,0.18202,0.4219,0.98813,0.56202,0.000693125,0.000693125,0.000693125
29,1243.31,0.6713,0.45906,1.04176,0.87016,0.22644,0.28342,0.26236,0.43449,0.93286,0.57342,0.0006725,0.0006725,0.0006725
30,1289.93,0.66218,0.432,1.02896,0.97744,0.12994,0.18664,0.17757,0.54244,0.89912,0.5859,0.000651875,0.000651875,0.000651875
31,1332.72,0.67346,0.44167,1.03641,0.59464,0.12947,0.18544,0.17488,0.49002,1.1151,0.58233,0.00063125,0.00063125,0.00063125
32,1380.17,0.66991,0.43598,1.03616,0.64265,0.12994,0.18026,0.17525,0.43163,1.13639,0.56689,0.000610625,0.000610625,0.000610625
33,1429.09,0.62315,0.43131,1.02838,0.60137,0.12994,0.17826,0.17633,0.36213,0.99551,0.54856,0.00059,0.00059,0.00059
34,1479.15,0.69011,0.42387,1.01634,0.81883,0.22644,0.27161,0.25595,0.41181,0.96068,0.55379,0.000569375,0.000569375,0.000569375
35,1527.62,0.65445,0.42328,1.02135,0.97117,0.12994,0.16521,0.15637,0.43051,0.82867,0.56416,0.00054875,0.00054875,0.00054875
36,1573.49,0.67655,0.42621,1.0685,0.98296,0.12994,0.15612,0.15114,0.38925,0.76777,0.5484,0.000528125,0.000528125,0.000528125
37,1617.92,0.66582,0.41279,1.01533,0.96296,0.22644,0.26191,0.24665,0.39769,0.74722,0.54811,0.0005075,0.0005075,0.0005075
38,1674.13,0.61631,0.40179,0.99213,0.92118,0.22644,0.26867,0.2505,0.42092,0.75278,0.55786,0.000486875,0.000486875,0.000486875
39,1715.11,0.60539,0.40715,1.00325,0.97681,0.12994,0.18001,0.17756,0.40782,0.78469,0.55495,0.00046625,0.00046625,0.00046625
40,1762.18,0.54596,0.37161,0.98019,0.94822,0.22644,0.28804,0.27444,0.35388,0.77543,0.53754,0.000445625,0.000445625,0.000445625
41,1807.84,0.62858,0.38692,1.019,0.90456,0.29117,0.33357,0.31565,0.39405,0.78894,0.54186,0.000425,0.000425,0.000425
42,1862.12,0.62074,0.40167,1.00719,0.9728,0.12994,0.18549,0.18298,0.37784,0.74962,0.54188,0.000404375,0.000404375,0.000404375
43,1909.98,0.54744,0.372,0.98464,0.97558,0.22644,0.29712,0.27402,0.39189,0.74818,0.54768,0.00038375,0.00038375,0.00038375
44,1957.13,0.54946,0.3593,0.97672,0.9774,0.12994,0.19603,0.19348,0.40466,0.72405,0.54526,0.000363125,0.000363125,0.000363125
45,2017.48,0.51095,0.33893,0.95686,0.97365,0.12994,0.2011,0.19801,0.38998,0.72007,0.54024,0.0003425,0.0003425,0.0003425
46,2081.97,0.53203,0.34965,0.97647,0.96367,0.22644,0.30749,0.28085,0.37588,0.69383,0.53749,0.000321875,0.000321875,0.000321875
47,2139.66,0.53159,0.35058,0.97556,0.96178,0.12994,0.20367,0.20103,0.40048,0.69486,0.54565,0.00030125,0.00030125,0.00030125
48,2184.96,0.49272,0.3282,0.96678,0.95462,0.12994,0.19457,0.19457,0.40145,0.68731,0.55014,0.000280625,0.000280625,0.000280625
49,2243.58,0.49688,0.32708,0.96449,0.89693,0.22565,0.30592,0.28802,0.39483,0.68228,0.55011,0.00026,0.00026,0.00026
50,2306.51,0.51073,0.34433,0.96128,0.90403,0.2917,0.35527,0.33422,0.38008,0.67073,0.54871,0.000239375,0.000239375,0.000239375
51,2401.29,0.46774,0.29833,0.9471,0.95999,0.22644,0.29809,0.27411,0.38883,0.67977,0.54993,0.00021875,0.00021875,0.00021875
52,2476.45,0.43828,0.28718,0.9426,0.95866,0.12994,0.18805,0.17841,0.405,0.71349,0.54983,0.000198125,0.000198125,0.000198125
53,2525.99,0.43608,0.26858,0.91869,0.95588,0.22644,0.29414,0.27057,0.40126,0.7171,0.54834,0.0001775,0.0001775,0.0001775
54,2570.82,0.45207,0.26699,0.91027,0.95697,0.22644,0.292,0.27573,0.36457,0.69706,0.54053,0.000156875,0.000156875,0.000156875
55,2622.55,0.42318,0.25449,0.91386,0.96,0.22644,0.2944,0.279,0.34259,0.69205,0.53693,0.00013625,0.00013625,0.00013625
56,2673.27,0.39985,0.24922,0.89415,0.96309,0.12994,0.18458,0.18041,0.34482,0.70517,0.53881,0.000115625,0.000115625,0.000115625
57,2729.5,0.39213,0.24576,0.89195,0.96154,0.22644,0.29341,0.28175,0.34095,0.70702,0.53754,9.5e-05,9.5e-05,9.5e-05
58,2786.11,0.38719,0.24627,0.9015,0.95182,0.51473,0.56022,0.54318,0.33076,0.67833,0.53382,7.4375e-05,7.4375e-05,7.4375e-05
59,2837.57,0.37053,0.23602,0.89026,0.94306,0.39625,0.45123,0.43844,0.3321,0.6552,0.5336,5.375e-05,5.375e-05,5.375e-05
60,2890.88,0.37907,0.24116,0.88731,0.94914,0.22644,0.29838,0.28555,0.3378,0.65071,0.53506,3.3125e-05,3.3125e-05,3.3125e-05
