epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.1048,0.74472,0.66667,1,0.60788,6.426e-05,6.426e-05,6.426e-05
2,86.756,0.56994,0.97222,1,0.41103,0.000128945,0.000128945,0.000128945
3,130.325,0.39842,0.97222,1,0.21351,0.000186561,0.000186561,0.000186561
4,174.421,0.29197,0.97222,1,0.08192,0.000237109,0.000237109,0.000237109
5,219.351,0.14193,1,1,0.02323,0.000280588,0.000280588,0.000280588
6,265.867,0.09175,1,1,0.04048,0.000316998,0.000316998,0.000316998
7,310.598,0.08279,1,1,0.00596,0.00034634,0.00034634,0.00034634
8,356.06,0.04759,1,1,0.00367,0.000368613,0.000368613,0.000368613
9,404.54,0.03528,1,1,0.0018,0.000383818,0.000383818,0.000383818
10,454.819,0.03431,1,1,0.00096,0.000391954,0.000391954,0.000391954
11,501.563,0.02088,1,1,0.00111,0.00036057,0.00036057,0.00036057
12,547.768,0.0151,1,1,0.00065,0.000325227,0.000325227,0.000325227
13,594.614,0.00829,1,1,0.0007,0.000289884,0.000289884,0.000289884
14,642.523,0.02085,1,1,0.0005,0.000254541,0.000254541,0.000254541
15,693.266,0.01362,1,1,0.00055,0.000219198,0.000219198,0.000219198
16,746.619,0.01571,1,1,0.00033,0.000183855,0.000183855,0.000183855
17,794.891,0.02422,1,1,0.00034,0.000148512,0.000148512,0.000148512
18,845.71,0.01241,1,1,0.00041,0.000113169,0.000113169,0.000113169
19,895.863,0.02014,1,1,0.0004,7.7826e-05,7.7826e-05,7.7826e-05
20,944.755,0.01268,1,1,0.00058,4.2483e-05,4.2483e-05,4.2483e-05
