                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.45427,                0.65245,                0.89359,                0.98203,                0.97199,                0.99487,                0.92801,                0.30201,                0.86822,                0.80515,               0.003268,               0.003268,               0.003268
                     36,                0.42653,                0.65419,                0.88358,                0.98203,                0.97199,                0.99487,                0.92801,                0.30201,                0.86822,                0.80515,                0.00307,                0.00307,                0.00307
                     37,                0.44957,                0.64927,                0.90588,                0.97762,                0.97628,                0.99487,                0.92923,                0.30554,                0.83321,                 0.8037,               0.002872,               0.002872,               0.002872
                     38,                 0.4378,                0.65569,                0.88631,                0.97559,                0.98981,                  0.995,                0.92817,                0.31395,                0.78839,                 0.8062,               0.002674,               0.002674,               0.002674
                     39,                0.44326,                0.65662,                0.89693,                0.97623,                0.98975,                  0.995,                0.92518,                0.30185,                0.75733,                0.80291,               0.002476,               0.002476,               0.002476
                     40,                0.39357,                0.83189,                0.87987,                0.97623,                0.98975,                  0.995,                0.92518,                0.30185,                0.75733,                0.80291,               0.002278,               0.002278,               0.002278
                     41,                0.36842,                0.76056,                0.86742,                0.98447,                 0.9887,                  0.995,                0.92945,                0.29022,                0.78005,                0.80086,                0.00208,                0.00208,                0.00208
                     42,                0.35384,                0.73294,                0.85687,                0.98344,                0.99199,                  0.995,                0.92102,                0.32366,                0.84551,                0.81018,               0.001882,               0.001882,               0.001882
                     43,                0.35173,                 0.6905,                0.85787,                0.96955,                0.99149,                0.99374,                0.92928,                0.30463,                0.92306,                0.80511,               0.001684,               0.001684,               0.001684
                     44,                0.36668,                0.72064,                0.85946,                0.96955,                0.99149,                0.99374,                0.92928,                0.30463,                0.92306,                0.80511,               0.001486,               0.001486,               0.001486
                     45,                0.33833,                0.70949,                0.84365,                 0.9766,                0.99108,                0.99376,                0.93602,                0.29047,                 0.8963,                0.80001,               0.001288,               0.001288,               0.001288
                     46,                0.34138,                 0.7111,                0.85403,                0.98904,                0.99363,                0.99479,                0.93856,                0.28587,                0.82771,                 0.7983,                0.00109,                0.00109,                0.00109
                     47,                0.36626,                0.74014,                 0.8597,                0.99489,                0.99635,                  0.995,                0.93937,                0.28231,                0.76794,                0.79669,               0.000892,               0.000892,               0.000892
                     48,                0.33726,                0.66685,                0.84357,                0.99489,                0.99635,                  0.995,                0.93937,                0.28231,                0.76794,                0.79669,               0.000694,               0.000694,               0.000694
                     49,                0.34108,                0.66927,                0.86915,                0.99731,                0.99721,                  0.995,                0.93775,                0.28207,                0.73494,                0.79592,               0.000496,               0.000496,               0.000496
