epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1999.5,0.33119,0.28648,0.87671,0.97745,0.22644,0.37104,0.35391,0.30046,0.58871,0.5477,0.000404375,0.000404375,0.000404375
43,2070.21,0.30065,0.2618,0.85305,0.73681,0.12994,0.2229,0.2229,0.28145,0.57737,0.54231,0.00038375,0.00038375,0.00038375
44,2141.2,0.28262,0.25108,0.84999,0.95105,0.39625,0.46137,0.45262,0.28435,0.56906,0.54074,0.000363125,0.000363125,0.000363125
45,2225.19,0.27482,0.23507,0.85501,0.97318,0.22644,0.35525,0.35525,0.27267,0.56631,0.53916,0.0003425,0.0003425,0.0003425
46,2306.08,0.28082,0.23961,0.86078,0.94447,0.39625,0.46811,0.45994,0.26514,0.53195,0.53669,0.000321875,0.000321875,0.000321875
47,2375.33,0.274,0.23305,0.84917,0.9771,0.12994,0.26468,0.26468,0.26274,0.52522,0.53651,0.00030125,0.00030125,0.00030125
48,2443.73,0.27774,0.23523,0.85903,0.89134,0.22644,0.35936,0.35936,0.25321,0.556,0.53571,0.000280625,0.000280625,0.000280625
49,2512.74,0.28492,0.23958,0.84933,0.93936,0.50011,0.5767,0.56167,0.25172,0.5582,0.5357,0.00026,0.00026,0.00026
50,2579.28,0.27395,0.23158,0.84598,0.81984,0.22644,0.36239,0.36096,0.25452,0.56778,0.53682,0.000239375,0.000239375,0.000239375
51,2677.63,0.21836,0.18128,0.8084,0.90564,0.2917,0.39341,0.39064,0.25143,0.52942,0.5334,0.00021875,0.00021875,0.00021875
52,2741.95,0.21607,0.17951,0.81228,0.92843,0.22644,0.36122,0.35443,0.25923,0.53234,0.53177,0.000198125,0.000198125,0.000198125
53,2793.34,0.21199,0.17446,0.79905,0.92206,0.61348,0.66643,0.64347,0.25636,0.52808,0.53029,0.0001775,0.0001775,0.0001775
54,2855.9,0.21087,0.16925,0.78614,0.93392,0.39625,0.4913,0.48357,0.25538,0.52842,0.53148,0.000156875,0.000156875,0.000156875
55,2914.28,0.21246,0.17023,0.79705,0.94269,0.39625,0.49389,0.48602,0.25592,0.54478,0.53277,0.00013625,0.00013625,0.00013625
56,2973.88,0.20292,0.16318,0.78736,0.94999,0.39625,0.49394,0.48596,0.25957,0.53232,0.53384,0.000115625,0.000115625,0.000115625
57,3028.53,0.21269,0.16328,0.79814,0.94977,0.6971,0.75008,0.72004,0.26051,0.52312,0.53411,9.5e-05,9.5e-05,9.5e-05
58,3075.42,0.21652,0.16956,0.81109,0.97118,0.12994,0.25646,0.25646,0.25605,0.51255,0.53489,7.4375e-05,7.4375e-05,7.4375e-05
59,3121.43,0.19443,0.157,0.79893,0.94955,0.39625,0.51756,0.50069,0.25235,0.50519,0.53477,5.375e-05,5.375e-05,5.375e-05
60,3175.62,0.21119,0.16513,0.80196,0.94964,0.69996,0.75738,0.7314,0.25064,0.50235,0.53388,3.3125e-05,3.3125e-05,3.3125e-05
