epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.4161,0.52481,0.66667,1,0.49672,0.00016422,0.00016422,0.00016422
2,75.8621,0.35981,0.77778,1,0.47231,0.000330043,0.000330043,0.000330043
3,114.106,0.24298,0.83333,1,0.46565,0.000490211,0.000490211,0.000490211
4,155.403,0.16904,0.88889,1,0.25929,0.000644724,0.000644724,0.000644724
5,196.288,0.10582,0.88889,1,0.29831,0.000666876,0.000666876,0.000666876
6,236.827,0.10941,0.88889,1,0.2518,0.000655095,0.000655095,0.000655095
7,277.828,0.06896,0.88889,1,0.10897,0.000643314,0.000643314,0.000643314
8,339.774,0.04282,0.94444,1,0.21175,0.000631533,0.000631533,0.000631533
9,385.534,0.04789,0.88889,1,0.12491,0.000619752,0.000619752,0.000619752
10,426.572,0.03083,0.94444,1,0.22044,0.000607971,0.000607971,0.000607971
11,471.048,0.03931,0.94444,1,0.06298,0.00059619,0.00059619,0.00059619
12,519.068,0.04457,1,1,0.02877,0.000584409,0.000584409,0.000584409
13,563.569,0.01946,1,1,0.04294,0.000572628,0.000572628,0.000572628
14,608.389,0.02327,1,1,0.04573,0.000560847,0.000560847,0.000560847
15,654.159,0.02842,0.94444,1,0.068,0.000549066,0.000549066,0.000549066
16,702.699,0.02035,0.88889,1,0.38277,0.000537285,0.000537285,0.000537285
17,753.442,0.03768,0.94444,1,0.40252,0.000525504,0.000525504,0.000525504
18,802.627,0.02771,0.94444,1,0.41624,0.000513723,0.000513723,0.000513723
19,857.618,0.02535,0.88889,1,0.34596,0.000501942,0.000501942,0.000501942
20,912.224,0.01266,0.94444,1,0.31083,0.000490161,0.000490161,0.000490161
21,969.172,0.03119,0.88889,1,0.17967,0.00047838,0.00047838,0.00047838
22,1023.34,0.01729,0.88889,1,0.33782,0.000466599,0.000466599,0.000466599
23,1072.71,0.02337,0.88889,1,0.33341,0.000454818,0.000454818,0.000454818
24,1122.16,0.01221,0.88889,1,0.14014,0.000443037,0.000443037,0.000443037
25,1172.29,0.0215,1,1,0.02948,0.000431256,0.000431256,0.000431256
26,1225.3,0.00899,1,1,0.03873,0.000419475,0.000419475,0.000419475
27,1279.01,0.01573,1,1,0.03269,0.000407694,0.000407694,0.000407694
28,1329.97,0.00469,1,1,0.0256,0.000395913,0.000395913,0.000395913
29,1391.24,0.01473,1,1,0.01741,0.000384132,0.000384132,0.000384132
30,1443.02,0.00681,1,1,0.01606,0.000372351,0.000372351,0.000372351
31,1495,0.02399,1,1,0.01348,0.00036057,0.00036057,0.00036057
32,1545.6,0.01126,0.94444,1,0.07437,0.000348789,0.000348789,0.000348789
33,1596.41,0.0152,0.88889,1,0.11733,0.000337008,0.000337008,0.000337008
34,1652.16,0.00511,0.94444,1,0.15302,0.000325227,0.000325227,0.000325227
35,1703.86,0.01316,0.88889,1,0.12303,0.000313446,0.000313446,0.000313446
36,1756.14,0.00569,0.88889,1,0.1409,0.000301665,0.000301665,0.000301665
37,1811.31,0.00611,0.83333,1,0.16394,0.000289884,0.000289884,0.000289884
38,1861.76,0.00654,0.94444,1,0.16962,0.000278103,0.000278103,0.000278103
39,1911.01,0.00508,0.94444,1,0.15784,0.000266322,0.000266322,0.000266322
40,1959.54,0.00276,0.94444,1,0.15905,0.000254541,0.000254541,0.000254541
41,2008.57,0.02336,0.94444,1,0.13868,0.00024276,0.00024276,0.00024276
42,2057.61,0.00646,0.94444,1,0.16812,0.000230979,0.000230979,0.000230979
43,2105.57,0.00921,0.94444,1,0.20004,0.000219198,0.000219198,0.000219198
44,2154.49,0.01731,0.94444,1,0.09839,0.000207417,0.000207417,0.000207417
45,2203.32,0.00173,1,1,0.03522,0.000195636,0.000195636,0.000195636
46,2250.36,0.01099,1,1,0.01307,0.000183855,0.000183855,0.000183855
47,2298.34,0.00631,1,1,0.01046,0.000172074,0.000172074,0.000172074
48,2349.04,0.00554,1,1,0.01516,0.000160293,0.000160293,0.000160293
49,2405.41,0.00219,1,1,0.01562,0.000148512,0.000148512,0.000148512
50,2467.76,0.0059,1,1,0.01658,0.000136731,0.000136731,0.000136731
51,2530.31,0.00428,1,1,0.01945,0.00012495,0.00012495,0.00012495
52,2589,0.00621,1,1,0.02736,0.000113169,0.000113169,0.000113169
53,2651.69,0.00177,1,1,0.03501,0.000101388,0.000101388,0.000101388
54,2711.27,0.00169,0.94444,1,0.04134,8.9607e-05,8.9607e-05,8.9607e-05
55,2768.69,0.0013,1,1,0.0294,7.7826e-05,7.7826e-05,7.7826e-05
56,2832.37,0.0023,1,1,0.03236,6.6045e-05,6.6045e-05,6.6045e-05
57,2887.73,0.0037,1,1,0.0332,5.4264e-05,5.4264e-05,5.4264e-05
58,2939.45,0.00255,0.94444,1,0.08039,4.2483e-05,4.2483e-05,4.2483e-05
59,2991.46,0.00505,0.94444,1,0.06258,3.0702e-05,3.0702e-05,3.0702e-05
60,3045.21,0.00146,0.94444,1,0.05819,1.8921e-05,1.8921e-05,1.8921e-05
